1988,12,0.061
1989,1,0.065
1989,2,0.065
1989,3,0.065
1989,4,0.0691
1989,5,0.0691
1989,6,0.0691
1989,7,0.0701
1989,8,0.072
1989,9,0.0739
1989,10,0.0781
1989,11,0.0778
1989,12,0.0784
1990,1,0.0899
1990,2,0.0961
1990,3,0.0952
1990,4,0.0953
1990,5,0.0972
1990,6,0.0946
1990,7,0.09
1990,8,0.082
1990,9,0.0786
1990,10,0.0779
1990,11,0.0753
1990,12,0.0708
1991,1,0.0702
1991,2,0.0641
1991,3,0.0608
1991,4,0.0628
1991,5,0.0642
1991,6,0.0655
1991,7,0.0638
1991,8,0.0616
1991,9,0.0612
1991,10,0.0608
1991,11,0.0583
1991,12,0.0558
1992,1,0.058
1992,2,0.0634
1992,3,0.0637
1992,4,0.0645
1992,5,0.0663
1992,6,0.0648
1992,7,0.0631
1992,8,0.0649
1992,9,0.0729
1992,10,0.0706
1992,11,0.0768
1992,12,0.0765
1993,1,0.0767
1993,2,0.0762
1993,3,0.0761
1993,4,0.0755
1993,5,0.0771
1993,6,0.0751
1993,7,0.0712
1993,8,0.0679
1993,9,0.0654
1993,10,0.0656
1993,11,0.0661
1993,12,0.0654
1994,1,0.0647
1994,2,0.0629
1994,3,0.0627
1994,4,0.0624
1994,5,0.0621
1994,6,0.0625
1994,7,0.0619
1994,8,0.0624
1994,9,0.0612
1994,10,0.0612
1994,11,0.0605
1994,12,0.0598
1995,1,0.0602
1995,2,0.062
1995,3,0.0625
1995,4,0.0635
1995,5,0.0628
1995,6,0.0606
1995,7,0.0581
1995,8,0.0598
1995,9,0.0613
1995,10,0.0642
1995,11,0.0668
1995,12,0.0686
1996,1,0.0659
1996,2,0.0655
1996,3,0.0657
1996,4,0.0669
1996,5,0.0656
1996,6,0.0653
1996,7,0.0639
1996,8,0.0634
1996,9,0.0631
1996,10,0.0625
1996,11,0.062
1996,12,0.0618
1997,1,0.0619
1997,2,0.0628
1997,3,0.0626
1997,4,0.0629
1997,5,0.0637
1997,6,0.064
1997,7,0.0654
1997,8,0.066
1997,9,0.0671
1997,10,0.069
1997,11,0.069
1997,12,0.069
1998,1,0.0711
1998,2,0.0733
1998,3,0.0724
1998,4,0.0714
1998,5,0.0719
1998,6,0.0735
1998,7,0.0763
1998,8,0.0789
1998,9,0.0927
1998,10,0.087
1998,11,0.0762
1998,12,0.0744
1999,1,0.072
1999,2,0.0678
1999,3,0.0664
1999,4,0.0658
1999,5,0.0643
1999,6,0.0619
1999,7,0.0646
1999,8,0.0655
1999,9,0.0656
1999,10,0.0669
1999,11,0.0684
1999,12,0.0716
2000,1,0.0721
2000,2,0.0721
2000,3,0.069
2000,4,0.0686
2000,5,0.0695
2000,6,0.0695
2000,7,0.0668
2000,8,0.0646
2000,9,0.0653
2000,10,0.0649
2000,11,0.0642
2000,12,0.0618
2001,1,0.0595
2001,2,0.0558
2001,3,0.0533
2001,4,0.0535
2001,5,0.0539
2001,6,0.0562
2001,7,0.0554
2001,8,0.0574
2001,9,0.0556
2001,10,0.0532
2001,11,0.0514
2001,12,0.054
2002,1,0.0514
2002,2,0.049
2002,3,0.049
2002,4,0.0478
2002,5,0.0487
2002,6,0.0498
2002,7,0.0473
2002,8,0.0394
2002,9,0.0349
2002,10,0.0364
2002,11,0.0385
2002,12,0.0406
2003,1,0.0386
2003,2,0.0368
2003,3,0.0372
2003,4,0.0349
2003,5,0.0399
2003,6,0.041
2003,7,0.0414
2003,8,0.0387
2003,9,0.0363
2003,10,0.0382
2003,11,0.0391
2003,12,0.0415
2004,1,0.0394
2004,2,0.0371
2004,3,0.0346
2004,4,0.0369
2004,5,0.0354
2004,6,0.0367
2004,7,0.0334
2004,8,0.03
2004,9,0.0315
2004,10,0.0329
2004,11,0.0322
2004,12,0.0327
2005,1,0.0302
2005,2,0.03
2005,3,0.03
2005,4,0.03
2005,5,0.03
2005,6,0.03
2005,7,0.03
2005,8,0.03
2005,9,0.03
2005,10,0.033
2005,11,0.035
2005,12,0.0339
2006,1,0.0315
2006,2,0.0314
2006,3,0.0316
2006,4,0.0313
2006,5,0.0325
2006,6,0.0335
2006,7,0.0327
2006,8,0.0313
2006,9,0.0307
2006,10,0.03
2006,11,0.03
2006,12,0.03
2007,1,0.03
2007,2,0.03
