year,month,period,rate
2019,1,23,0.0259
2019,1,24,0.026
2019,1,25,0.0262
2019,2,1,0.0136
2019,2,2,0.0152
2019,2,3,0.0157
2019,2,4,0.0161
2019,2,5,0.0167
2019,2,6,0.0174
2019,2,7,0.0182
2019,2,8,0.019
2019,2,9,0.0197
2019,2,10,0.0203
2019,2,11,0.0209
2019,2,12,0.0215
2019,2,13,0.022
2019,2,14,0.0224
2019,2,15,0.0228
2019,2,16,0.0232
2019,2,17,0.0235
2019,2,18,0.0238
2019,2,19,0.024
2019,2,20,0.0242
2019,2,21,0.0244
2019,2,22,0.0246
2019,2,23,0.0247
2019,2,24,0.0248
2019,2,25,0.025
2019,3,1,0.0122
2019,3,2,0.0139
2019,3,3,0.0145
2019,3,4,0.0149
2019,3,5,0.0156
2019,3,6,0.0163
2019,3,7,0.0171
2019,3,8,0.0178
2019,3,9,0.0185
2019,3,10,0.0192
2019,3,11,0.0198
2019,3,12,0.0203
2019,3,13,0.0208
2019,3,14,0.0212
2019,3,15,0.0216
2019,3,16,0.022
2019,3,17,0.0223
2019,3,18,0.0225
2019,3,19,0.0228
2019,3,20,0.023
2019,3,21,0.0232
2019,3,22,0.0234
2019,3,23,0.0235
2019,3,24,0.0236
2019,3,25,0.0238
2019,4,1,0.01
2019,4,2,0.0119
2019,4,3,0.0125
2019,4,4,0.013
2019,4,5,0.0137
2019,4,6,0.0145
2019,4,7,0.0153
2019,4,8,0.0161
2019,4,9,0.0168
2019,4,10,0.0175
2019,4,11,0.0181
2019,4,12,0.0186
2019,4,13,0.0191
2019,4,14,0.0195
2019,4,15,0.0199
2019,4,16,0.0203
2019,4,17,0.0206
2019,4,18,0.0208
2019,4,19,0.0211
2019,4,20,0.0213
2019,4,21,0.0215
2019,4,22,0.0217
2019,4,23,0.0218
2019,4,24,0.022
2019,4,25,0.0221
2019,5,1,0.0083
2019,5,2,0.0103
2019,5,3,0.0111
2019,5,4,0.0118
2019,5,5,0.0125
2019,5,6,0.0134
2019,5,7,0.0142
2019,5,8,0.015
2019,5,9,0.0157
2019,5,10,0.0164
2019,5,11,0.017
2019,5,12,0.0175
2019,5,13,0.018
2019,5,14,0.0184
2019,5,15,0.0188
2019,5,16,0.0192
2019,5,17,0.0195
2019,5,18,0.0197
2019,5,19,0.02
2019,5,20,0.0202
2019,5,21,0.0204
2019,5,22,0.0206
2019,5,23,0.0207
2019,5,24,0.0209
2019,5,25,0.021
2019,6,1,0.0063
2019,6,2,0.0079
2019,6,3,0.0087
2019,6,4,0.0094
2019,6,5,0.0101
2019,6,6,0.0109
2019,6,7,0.0118
2019,6,8,0.0126
2019,6,9,0.0134
2019,6,10,0.0141
2019,6,11,0.0147
2019,6,12,0.0152
2019,6,13,0.0158
2019,6,14,0.0162
2019,6,15,0.0166
2019,6,16,0.017
2019,6,17,0.0173
2019,6,18,0.0176
2019,6,19,0.0179
2019,6,20,0.0181
2019,6,21,0.0183
2019,6,22,0.0185
2019,6,23,0.0187
2019,6,24,0.0188
2019,6,25,0.019
2019,7,1,0.0056
2019,7,2,0.0062
2019,7,3,0.0069
2019,7,4,0.0075
2019,7,5,0.0082
2019,7,6,0.009
2019,7,7,0.0099
2019,7,8,0.0107
2019,7,9,0.0114
2019,7,10,0.0121
2019,7,11,0.0127
2019,7,12,0.0133
2019,7,13,0.0138
2019,7,14,0.0142
2019,7,15,0.0146
2019,7,16,0.015
2019,7,17,0.0153
2019,7,18,0.0156
2019,7,19,0.0159
2019,7,20,0.0161
2019,7,21,0.0164
2019,7,22,0.0166
2019,7,23,0.0167
2019,7,24,0.0169
2019,7,25,0.0171
2019,8,1,0.0034
2019,8,2,0.0032
2019,8,3,0.0035
2019,8,4,0.0039
2019,8,5,0.0045
2019,8,6,0.0053
2019,8,7,0.0061
2019,8,8,0.0069
2019,8,9,0.0077
2019,8,10,0.0084
2019,8,11,0.009
2019,8,12,0.0096
2019,8,13,0.0101
2019,8,14,0.0106
2019,8,15,0.011
2019,8,16,0.0114
2019,8,17,0.0117
2019,8,18,0.012
2019,8,19,0.0123
2019,8,20,0.0126
2019,8,21,0.0128
2019,8,22,0.0131
2019,8,23,0.0133
2019,8,24,0.0134
2019,8,25,0.0136
2019,9,1,0.001
2019,9,2,0.001
2019,9,3,0.0013
2019,9,4,0.0018
2019,9,5,0.0025
2019,9,6,0.0033
2019,9,7,0.0042
2019,9,8,0.005
2019,9,9,0.0057
2019,9,10,0.0064
2019,9,11,0.007
2019,9,12,0.0075
2019,9,13,0.008
2019,9,14,0.0085
2019,9,15,0.0089
2019,9,16,0.0092
2019,9,17,0.0096
2019,9,18,0.0099
2019,9,19,0.0101
2019,9,20,0.0104
2019,9,21,0.0106
2019,9,22,0.0108
2019,9,23,0.011
2019,9,24,0.0112
2019,9,25,0.0114
2019,10,1,-0.0023
2019,10,2,-0.002
2019,10,3,-0.0011
2019,10,4,0.0
2019,10,5,0.0011
2019,10,6,0.0022
2019,10,7,0.0031
2019,10,8,0.004
2019,10,9,0.0048
2019,10,10,0.0055
2019,10,11,0.0061
2019,10,12,0.0066
2019,10,13,0.0071
2019,10,14,0.0075
2019,10,15,0.0079
2019,10,16,0.0082
2019,10,17,0.0085
2019,10,18,0.0088
2019,10,19,0.0091
2019,10,20,0.0093
2019,10,21,0.0095
2019,10,22,0.0097
2019,10,23,0.0099
2019,10,24,0.0101
2019,10,25,0.0102
2019,11,1,-0.0025
2019,11,2,-0.0005
2019,11,3,0.0015
2019,11,4,0.0033
2019,11,5,0.0048
2019,11,6,0.0061
2019,11,7,0.0071
2019,11,8,0.0081
2019,11,9,0.0089
2019,11,10,0.0096
2019,11,11,0.0102
2019,11,12,0.0107
2019,11,13,0.0112
2019,11,14,0.0116
2019,11,15,0.012
2019,11,16,0.0123
2019,11,17,0.0126
2019,11,18,0.0129
2019,11,19,0.0131
2019,11,20,0.0133
2019,11,21,0.0135
2019,11,22,0.0137
2019,11,23,0.01385
2019,11,24,0.014
2019,11,25,0.0142
2019,12,1,0.0002
2019,12,2,0.0024
2019,12,3,0.0044
2019,12,4,0.0062
2019,12,5,0.0077
2019,12,6,0.0091
2019,12,7,0.0102
2019,12,8,0.0112
2019,12,9,0.012
2019,12,10,0.0128
2019,12,11,0.0134
2019,12,12,0.014
2019,12,13,0.0145
2019,12,14,0.015
2019,12,15,0.0154
2019,12,16,0.0158
2019,12,17,0.0161
2019,12,18,0.0164
2019,12,19,0.0167
2019,12,20,0.017
2019,12,21,0.0172
2019,12,22,0.0174
2019,12,23,0.0176
2019,12,24,0.0178
2019,12,25,0.0179
2020,1,1,0.0019
2020,1,2,0.004
2020,1,3,0.0056
2020,1,4,0.00682
2020,1,5,0.00804
2020,1,6,0.00926
2020,1,7,0.01048
2020,1,8,0.0117
2020,1,9,0.012475
2020,1,10,0.01325
2020,1,11,0.014025
2020,1,12,0.0148
2020,1,13,0.0154
2020,1,14,0.0159
2020,1,15,0.0164
2020,1,16,0.0168
2020,1,17,0.0172
2020,1,18,0.0176
2020,1,19,0.0179
2020,1,20,0.0182
2020,1,21,0.0184
2020,1,22,0.0187
2020,1,23,0.0189
2020,1,24,0.0191
2020,1,25,0.0192
2020,2,1,0.0022
2020,2,2,0.0022
2020,2,3,0.0035
2020,2,4,0.0051
2020,2,5,0.0066
2020,2,6,0.008
2020,2,7,0.0092
2020,2,8,0.0102
2020,2,9,0.0112
2020,2,10,0.012
2020,2,11,0.0128
2020,2,12,0.0135
2020,2,13,0.0141
2020,2,14,0.0146
2020,2,15,0.0151
2020,2,16,0.0155
2020,2,17,0.0159
2020,2,18,0.0163
2020,2,19,0.0166
2020,2,20,0.0169
2020,2,21,0.0172
2020,2,22,0.0174
2020,2,23,0.0176
2020,2,24,0.0178
2020,2,25,0.018
2020,3,1,-0.0013
2020,3,2,0.0008
2020,3,3,0.0033
2020,3,4,0.0055
2020,3,5,0.0075
2020,3,6,0.009
2020,3,7,0.0103
2020,3,8,0.0114
2020,3,9,0.0124
2020,3,10,0.0132
2020,3,11,0.0139
2020,3,12,0.0145
2020,3,13,0.015
2020,3,14,0.0155
2020,3,15,0.016
2020,3,16,0.0163
2020,3,17,0.0167
2020,3,18,0.017
2020,3,19,0.0173
2020,3,20,0.0175
2020,3,21,0.0178
2020,3,22,0.018
2020,3,23,0.0182
2020,3,24,0.0183
2020,3,25,0.0185
2020,4,1,-0.0026
2020,4,2,-0.0007
2020,4,3,0.0028
2020,4,4,0.006
2020,4,5,0.0085
2020,4,6,0.0105
2020,4,7,0.012
2020,4,8,0.0132
2020,4,9,0.0142
2020,4,10,0.0151
2020,4,11,0.0157
2020,4,12,0.0163
2020,4,13,0.0169
2020,4,14,0.0173
2020,4,15,0.0177
2020,4,16,0.018
2020,4,17,0.0183
2020,4,18,0.0186
2020,4,19,0.0189
2020,4,20,0.0191
2020,4,21,0.0193
2020,4,22,0.0194
2020,4,23,0.0196
2020,4,24,0.0197
2020,4,25,0.0199
2020,5,1,-0.0032
2020,5,2,-0.002
2020,5,3,0.0014
2020,5,4,0.0046
2020,5,5,0.007
2020,5,6,0.0089
2020,5,7,0.0103
2020,5,8,0.0115
2020,5,9,0.0124
2020,5,10,0.0132
2020,5,11,0.0139
2020,5,12,0.0144
2020,5,13,0.0149
2020,5,14,0.0153
2020,5,15,0.0157
2020,5,16,0.016
2020,5,17,0.0163
2020,5,18,0.0165
2020,5,19,0.0168
2020,5,20,0.017
2020,5,21,0.0171
2020,5,22,0.0173
2020,5,23,0.0175
2020,5,24,0.0176
2020,5,25,0.0177
2020,6,1,-0.0047
2020,6,2,-0.0051
2020,6,3,-0.0021
2020,6,4,0.0008
2020,6,5,0.0031
2020,6,6,0.0048
2020,6,7,0.0062
2020,6,8,0.0074
2020,6,9,0.0083
2020,6,10,0.0091
2020,6,11,0.0097
2020,6,12,0.0103
2020,6,13,0.0108
2020,6,14,0.0112
2020,6,15,0.0116
2020,6,16,0.012
2020,6,17,0.0123
2020,6,18,0.0125
2020,6,19,0.0128
2020,6,20,0.013
2020,6,21,0.0132
2020,6,22,0.0134
2020,6,23,0.0136
2020,6,24,0.0137
2020,6,25,0.0139
2020,7,1,-0.0058
2020,7,2,-0.006
2020,7,3,-0.0035
2020,7,4,-0.0013
2020,7,5,0.0005
2020,7,6,0.0019
2020,7,7,0.0031
2020,7,8,0.0041
2020,7,9,0.005
2020,7,10,0.0057
2020,7,11,0.0063
2020,7,12,0.0069
2020,7,13,0.0074
2020,7,14,0.0079
2020,7,15,0.0083
2020,7,16,0.0087
2020,7,17,0.0091
2020,7,18,0.0094
2020,7,19,0.0097
2020,7,20,0.0099
2020,7,21,0.0102
2020,7,22,0.0104
2020,7,23,0.0106
2020,7,24,0.0108
2020,7,25,0.011
2020,8,1,-0.0076
2020,8,2,-0.0075
2020,8,3,-0.005
2020,8,4,-0.0027
2020,8,5,-0.0008
2020,8,6,0.0008
2020,8,7,0.0021
2020,8,8,0.0033
2020,8,9,0.0042
2020,8,10,0.005
2020,8,11,0.0058
2020,8,12,0.0064
2020,8,13,0.007
2020,8,14,0.0075
2020,8,15,0.0079
2020,8,16,0.0084
2020,8,17,0.0088
2020,8,18,0.0091
2020,8,19,0.0094
2020,8,20,0.0097
2020,8,21,0.01
2020,8,22,0.0102
2020,8,23,0.0105
2020,8,24,0.0107
2020,8,25,0.0109
