year,month,period,rate
2015,12,10,0.0263
2015,12,11,0.0268
2015,12,12,0.0272
2015,12,13,0.0275
2015,12,14,0.0279
2015,12,15,0.0282
2015,12,16,0.0285
2015,12,17,0.0287
2015,12,18,0.029
2015,12,19,0.0293
2015,12,20,0.0295
2015,12,21,0.0297
2015,12,22,0.0299
2015,12,23,0.0301
2015,12,24,0.0303
2015,12,25,0.0305
2016,1,1,0.02
2016,1,2,0.0217
2016,1,3,0.0225
2016,1,4,0.0233
2016,1,5,0.0238
2016,1,6,0.0246
2016,1,7,0.0252
2016,1,8,0.0258
2016,1,9,0.0264
2016,1,10,0.0268
2016,1,11,0.0273
2016,1,12,0.0277
2016,1,13,0.028
2016,1,14,0.0284
2016,1,15,0.0287
2016,1,16,0.029
2016,1,17,0.0293
2016,1,18,0.0295
2016,1,19,0.0298
2016,1,20,0.03
2016,1,21,0.0302
2016,1,22,0.0305
2016,1,23,0.0307
2016,1,24,0.0309
2016,1,25,0.031
2016,2,1,0.0204
2016,2,2,0.0204
2016,2,3,0.02125
2016,2,4,0.0221
2016,2,5,0.023
2016,2,6,0.0237
2016,2,7,0.0244
2016,2,8,0.025
2016,2,9,0.0256
2016,2,10,0.0261
2016,2,11,0.0265
2016,2,12,0.0269
2016,2,13,0.0273
2016,2,14,0.0277
2016,2,15,0.028
2016,2,16,0.0283
2016,2,17,0.0286
2016,2,18,0.0289
2016,2,19,0.02915
2016,2,20,0.0294
2016,2,21,0.0296
2016,2,22,0.0298
2016,2,23,0.03
2016,2,24,0.0302
2016,2,25,0.0304
2016,3,1,0.017
2016,3,2,0.0192
2016,3,3,0.0203
2016,3,4,0.0212
2016,3,5,0.022
2016,3,6,0.0227
2016,3,7,0.0234
2016,3,8,0.024
2016,3,9,0.0245
2016,3,10,0.025
2016,3,11,0.0254
2016,3,12,0.0258
2016,3,13,0.0262
2016,3,14,0.0265
2016,3,15,0.0268
2016,3,16,0.0271
2016,3,17,0.0274
2016,3,18,0.0277
2016,3,19,0.028
2016,3,20,0.0282
2016,3,21,0.0284
2016,3,22,0.0287
2016,3,23,0.0289
2016,3,24,0.0291
2016,3,25,0.0293
2016,4,1,0.0172
2016,4,2,0.0191
2016,4,3,0.02
2016,4,4,0.0208
2016,4,5,0.0215
2016,4,6,0.02205
2016,4,7,0.0226
2016,4,8,0.0232
2016,4,9,0.0236
2016,4,10,0.0241
2016,4,11,0.02445
2016,4,12,0.0248
2016,4,13,0.0252
2016,4,14,0.0255
2016,4,15,0.0258
2016,4,16,0.0261
2016,4,17,0.0263
2016,4,18,0.0266
2016,4,19,0.0268
2016,4,20,0.0271
2016,4,21,0.0273
2016,4,22,0.0275
2016,4,23,0.0277
2016,4,24,0.0279
2016,4,25,0.0281
2016,5,1,0.0178
2016,5,2,0.0248
2016,5,3,0.0201
2016,5,4,0.0209
2016,5,5,0.0215
2016,5,6,0.0257
2016,5,7,0.0227
2016,5,8,0.0233
2016,5,9,0.0237
2016,5,10,0.0241
2016,5,11,0.024425
2016,5,12,0.02475
2016,5,13,0.025075
2016,5,14,0.0254
2016,5,15,0.0257
2016,5,16,0.026
2016,5,17,0.0262
2016,5,18,0.0264
2016,5,19,0.0267
2016,5,20,0.0269
2016,5,21,0.0271
2016,5,22,0.0272
2016,5,23,0.0274
2016,5,24,0.0276
2016,5,25,0.0278
2016,6,1,0.0188
2016,6,2,0.0188
2016,6,3,0.0196
2016,6,4,0.0204
2016,6,5,0.0212
2016,6,6,0.0219
2016,6,7,0.0226
2016,6,8,0.02315
2016,6,9,0.0237
2016,6,10,0.0242
2016,6,11,0.0246
2016,6,12,0.025
